31,26,17,31,30,26,31,31,31,31,31,31
-1,16,-1,-1,18,-1,-1,18,-1,-1,-1,-1
-1,18,-1,-1,-1,-1,-1,21,-1,-1,-1,-1
-1,16,-1,-1,-1,-1,-1,18,-1,-1,-1,-1
-1,18,-1,-1,18,-1,-1,16,-1,-1,-1,-1
18,21,18,18,18,-1,-1,18,-1,-1,18,18
16,-1,-1,-1,18,-1,-1,18,-1,-1,-1,-1
18,-1,-1,-1,18,-1,-1,21,-1,-1,-1,-1
16,18,-1,-1,18,-1,-1,18,18,-1,-1,18
18,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1
16,16,16,16,16,21,16,18,16,-1,-1,21
-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1
18,-1,-1,21,16,-1,-1,18,16,-1,-1,18
16,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1
18,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1
